paras,rewards
[7 4 2 0 7 0],0.8984247555676127
[ 9  4 19  3  6  0],0.7652814795671938
[ 6  7 15 15  5  0],0.6834251119965405
[ 9  5 10 19  1  1],0.7382065239208097
[ 9  5 18  3  3  0],0.7859292859292859
[0 1 9 8 0 1],0.6881445452874024
[ 0  9  6 13  5  1],0.7317895175038032
[ 6  4 17  7  0  1],0.7949265806408663
[ 2  8 16 10  7  1],0.7407812407812407
[ 5  8 18 13  4  1],0.7427832427832428
[ 9  1  0 15  2  0],0.6615034472177329
[10  2 11 10  0  0],0.7142870000012858
[ 7  9 13 12  3  1],0.766425480711195
[ 3  0 10  3  3  1],0.4919428490857062
[ 9  7  0 18  2  0],0.7027843456414885
[ 1  7 19  1  8  0],0.7639246924961212
[ 2  3  7 20  6  1],0.6705011705011705
[9 8 7 4 7 0],0.8043545900688758
[ 1  5  2 11  5  0],0.7169245026387883
[ 6  2  7 20  2  0],0.6846457560743275
[3 8 3 0 0 1],0.9084988370702656
[8 2 5 1 3 1],0.7963548677834392
[6 2 0 9 8 1],0.6523744380887238
[ 7  8 11  2  6  0],0.8117828832114546
[4 7 1 3 0 1],0.8515699944271373
[ 7  8 16  8  7  0],0.7402793117078832
[11  9  9 12  1  0],0.7447792447792447
[ 5  4 14 12  0  0],0.7211425782854355
[ 1  3 19  2  8  0],0.7489926061354633
[11  5  5  1  7  0],0.8608532894247181
[11  4  0 10  3  1],0.7822840679983537
[ 5  4 11 14  8  0],0.6671395242823814
[ 1  5  2 11  1  1],0.7832089974947118
[10  0 11  6  2  1],0.5568576997148426
[ 5  1 20 12  7  1],0.5710084281512853
[11  9  7  8  1  0],0.7757102042816328
[ 8  8 15 10  2  0],0.7527087527087527
[11  0  7  0  7  1],0.3537942823657109
[ 5  0 17  4  6  1],0.37494530351673205
[ 4  8 20  8  5  1],0.7763535620678478
[ 3  2 15  2  3  0],0.7584976870691156
[ 7  8  8 12  6  1],0.7357121642835929
[ 1  9  2 19  6  0],0.6422132850704279
[ 0  8  5 10  1  0],0.7508568937140365
[ 3  3 18  5  0  1],0.7898557898557899
[11  3 14  7  4  0],0.7622122622122622
[ 1  4  4 14  3  1],0.7472116757831043
[ 2  8 19 16  4  1],0.7236432236432236
[ 0  3 14 14  6  0],0.6777062491348206
[ 6  9  3 16  7  0],0.6619926619926619
[ 2  1 15 16  6  1],0.5728711442997158
