paras,rewards
[ 8  6 15  7  1  0],0.9277942528747521
[11  7 20 15  3  0],0.8743972252190004
[ 0  3 10 12  8  0],0.842607384934923
[ 4  3  5 10  0  1],0.9338913029761714
[0 1 3 1 1 1],0.9463529151957168
[6 9 7 4 8 0],0.9120224218771819
[0 8 1 1 8 1],0.8888961437929455
[ 8  3  0 16  1  1],0.9160944486795846
[ 4  8 17  4  3  1],0.9290607005323864
[ 8  9 12  1  0  1],0.9583021300628168
[ 3  6 16  6  7  0],0.8899067160126565
[ 1  9  2 17  0  0],0.9079646175599594
[ 1  1  9 19  4  1],0.8594027176841863
[ 8  1 13  9  7  1],0.8062602725131597
[5 0 7 0 1 0],0.8764319456670036
[ 0  9  9 16  1  1],0.9056740216740331
[ 4  8 11 17  0  0],0.9036386547494308
[ 1  2  5 20  4  1],0.8588929062381372
[ 3  4 20  3  3  1],0.9308427779254618
[ 2  8  9 10  2  0],0.903385365217904
[ 1  0 19  5  3  0],0.8125950967077273
[ 1  7 15  7  3  1],0.9204120072943247
[ 0  7 15 15  0  1],0.9219446740154678
[3 4 8 2 4 0],0.9402500468049058
[ 1  5  9 14  3  0],0.8769385247300572
[ 6  2 16 13  4  0],0.8764332386202017
[ 3  0  3 10  7  0],0.743169069663284
[7 4 7 1 5 0],0.9440642587395879
[ 5  4  9 11  2  1],0.9125309403700328
[10  8 12  0  8  0],0.931606525379637
[2 7 0 6 5 1],0.9127829369483615
[ 4  1  6 13  2  0],0.8916823286397408
[10  9  2 17  3  1],0.8835492651371202
[ 7  6 19 16  6  0],0.8433743647720937
[ 7  9 17  5  7  1],0.8565984314926162
[10  1 19  0  5  1],0.9013519377230991
[2 0 6 5 6 0],0.7614977156102894
[ 2  2  3 12  8  1],0.7701412370355583
[6 9 0 2 7 0],0.9377042219576552
[ 1  4 14 18  8  1],0.7470272420067048
[ 2  8  7 18  8  0],0.8024260198039055
[ 8  8 16  1  2  1],0.9468633731183651
[ 1  8 17  7  2  1],0.9214322766630223
[ 3  0 12 14  5  1],0.7068432909692908
[8 0 9 9 3 1],0.7714290184209629
[ 3  3  9 18  6  0],0.826843958133141
[6 9 2 5 4 1],0.9272786231393111
[1 1 0 6 1 1],0.9303297340964171
[8 0 5 6 2 0],0.8375318971553996
[ 8  2  0 18  1  1],0.9089738968264722
[ 4  7 10 15  1  1],0.9148189503495628
[ 4  1 16 11  4  1],0.8827855176829451
[11  2 15  8  0  0],0.92855606089913
[ 4  9  1 14  6  1],0.8423663784587792
[0 9 0 0 5 1],0.9682172709585128
[ 0  3 10  2  6  1],0.9125509811446049
[ 9  8 20 16  7  0],0.8306542912082286
[11  4  1 16  7  1],0.7927861486441059
[ 8  0 14 10  0  1],0.8909166417557683
[11  8 14 15  8  0],0.8301444797621793
[ 2  8 14 11  7  0],0.8601587074191723
[5 8 8 7 3 1],0.9257517747075599
[ 0  8 13 19  0  0],0.8982930690468038
[2 2 7 1 2 1],0.9572838001239166
[ 2  6 20 17  8  0],0.8113247701904985
[ 7  9 10 14  5  1],0.8644840237531017
[10  6 13  6  2  0],0.9229565391883771
[2 4 3 7 7 0],0.8888870931205581
[ 2  1 11  0  2  1],0.9377042219576552
[ 5  6 11  6  1  1],0.9422808883933143
[10  2  8  3  6  0],0.9285489496565399
[ 1  2  9 14  4  0],0.8690490536099771
[ 4  6  0 10  8  1],0.7866658253851191
[2 3 9 2 8 0],0.9219401486792742
[9 0 7 4 1 0],0.8716013432232186
[5 4 7 5 6 0],0.9097318259912555
[ 7  5 16 20  1  0],0.8789674268886685
[ 5  9 12 15  2  0],0.8815145446891172
[10  3 12 14  4  1],0.877706797520426
[ 3  6 14 11  0  1],0.9288093504306569
[ 8  3  1 13  8  1],0.7655678029828947
[7 8 5 5 4 1],0.9267675187400637
[ 4  5  4 16  5  1],0.8555794550771169
[10  8 18 17  4  0],0.8555775156473195
[7 2 9 7 4 0],0.9066871798001405
